2024-10-24T13:05:41.024975278Z I1024 13:05:41.024964       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" by providerID
2024-10-24T13:05:41.024975278Z W1024 13:05:41.024970       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" has no providerID
2024-10-24T13:05:41.024982878Z I1024 13:05:41.024974       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" by IP
2024-10-24T13:05:41.024993548Z W1024 13:05:41.024983       1 nodelink_controller.go:389] not found internal IP for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz"
2024-10-24T13:05:41.024993548Z I1024 13:05:41.024989       1 nodelink_controller.go:331] No-op: Node for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" not found
2024-10-24T13:05:41.025000258Z I1024 13:05:41.024512       1 controller.go:217] "Starting workers" controller="nodelink-controller" worker count=1
2024-10-24T13:05:41.025589138Z I1024 13:05:41.025031       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-0
2024-10-24T13:05:41.025672668Z I1024 13:05:41.025624       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:05:41.025672668Z I1024 13:05:41.025637       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-0" by ProviderID
2024-10-24T13:05:41.025685078Z I1024 13:05:41.025676       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-0" by IP
2024-10-24T13:05:41.025694528Z I1024 13:05:41.025682       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-0": "10.0.0.3"
2024-10-24T13:05:41.025703578Z I1024 13:05:41.025696       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" with internal IP "10.0.0.3"
2024-10-24T13:05:41.025713058Z W1024 13:05:41.025705       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" not found
2024-10-24T13:05:41.025760328Z I1024 13:05:41.025730       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-1
2024-10-24T13:05:41.025770618Z I1024 13:05:41.025763       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:05:41.025770618Z I1024 13:05:41.025767       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1" by ProviderID
2024-10-24T13:05:41.025799798Z I1024 13:05:41.025777       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1" by IP
2024-10-24T13:05:41.025799798Z I1024 13:05:41.025785       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-1": "10.0.0.4"
2024-10-24T13:05:41.025807468Z I1024 13:05:41.025797       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" with internal IP "10.0.0.4"
2024-10-24T13:05:41.025807468Z W1024 13:05:41.025803       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" not found
2024-10-24T13:05:41.025830508Z I1024 13:05:41.025812       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:05:41.025882638Z I1024 13:05:41.025848       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-2"
2024-10-24T13:05:41.025882638Z I1024 13:05:41.025857       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-2" by ProviderID
2024-10-24T13:05:41.025882638Z I1024 13:05:41.025867       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-2" by IP
2024-10-24T13:05:41.025882638Z I1024 13:05:41.025871       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-2": "10.0.0.6"
2024-10-24T13:05:41.025895018Z I1024 13:05:41.025888       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" with internal IP "10.0.0.6"
2024-10-24T13:05:41.025909148Z W1024 13:05:41.025894       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" not found
2024-10-24T13:05:43.717847492Z I1024 13:05:43.717344       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-master-2" for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:05:43.717847492Z I1024 13:05:43.717817       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-master-2" for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:05:43.717847492Z I1024 13:05:43.717830       1 nodelink_controller.go:91] Adding internal IP "10.0.0.6" for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:05:43.717847492Z I1024 13:05:43.717836       1 nodelink_controller.go:91] Adding internal IP "10.0.0.6" for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:05:43.717956482Z I1024 13:05:43.717914       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:05:43.717978772Z I1024 13:05:43.717971       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-2"
2024-10-24T13:05:43.717988472Z I1024 13:05:43.717978       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-2" by ProviderID
2024-10-24T13:05:43.718034662Z I1024 13:05:43.718016       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-2" by IP
2024-10-24T13:05:43.718034662Z I1024 13:05:43.718027       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-2": "10.0.0.6"
2024-10-24T13:05:43.718064262Z I1024 13:05:43.718046       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" with internal IP "10.0.0.6"
2024-10-24T13:05:43.718064262Z W1024 13:05:43.718060       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" not found
2024-10-24T13:05:50.733301619Z I1024 13:05:50.732722       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:05:50.733544249Z I1024 13:05:50.733360       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:05:50.733544249Z I1024 13:05:50.733532       1 nodelink_controller.go:91] Adding internal IP "10.0.0.4" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:05:50.733584129Z I1024 13:05:50.733544       1 nodelink_controller.go:91] Adding internal IP "10.0.0.4" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:05:50.733884529Z I1024 13:05:50.733830       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-1
2024-10-24T13:05:50.733969279Z I1024 13:05:50.733936       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:05:50.733969279Z I1024 13:05:50.733958       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1" by ProviderID
2024-10-24T13:05:50.734048759Z I1024 13:05:50.734009       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1" by IP
2024-10-24T13:05:50.734048759Z I1024 13:05:50.734031       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-1": "10.0.0.4"
2024-10-24T13:05:50.734164519Z I1024 13:05:50.734073       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" with internal IP "10.0.0.4"
2024-10-24T13:05:50.734164519Z W1024 13:05:50.734099       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" not found
2024-10-24T13:06:10.495871023Z I1024 13:06:10.495357       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:06:10.495984243Z I1024 13:06:10.495961       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:06:10.496025153Z I1024 13:06:10.496011       1 nodelink_controller.go:91] Adding internal IP "10.0.0.3" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:06:10.496057733Z I1024 13:06:10.496045       1 nodelink_controller.go:91] Adding internal IP "10.0.0.3" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:06:10.496174693Z I1024 13:06:10.496151       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-0
2024-10-24T13:06:10.496311903Z I1024 13:06:10.496293       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:06:10.496349263Z I1024 13:06:10.496336       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-0" by ProviderID
2024-10-24T13:06:10.496420123Z I1024 13:06:10.496404       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-0" by IP
2024-10-24T13:06:10.496457153Z I1024 13:06:10.496443       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-0": "10.0.0.3"
2024-10-24T13:06:10.496533093Z I1024 13:06:10.496513       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" with internal IP "10.0.0.3"
2024-10-24T13:06:10.496572473Z W1024 13:06:10.496559       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" not found
2024-10-24T13:06:11.024746476Z I1024 13:06:11.024579       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:06:11.024746476Z I1024 13:06:11.024607       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:06:11.024746476Z I1024 13:06:11.024616       1 nodelink_controller.go:91] Adding internal IP "10.0.0.4" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:06:11.024746476Z I1024 13:06:11.024622       1 nodelink_controller.go:91] Adding internal IP "10.0.0.4" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:06:11.024746476Z I1024 13:06:11.024674       1 nodelink_controller.go:191] Reconciling Node /ci-op-2fcpj5j6-f6035-2lklf-master-1
2024-10-24T13:06:11.024746476Z I1024 13:06:11.024738       1 nodelink_controller.go:412] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:06:11.024776546Z I1024 13:06:11.024745       1 nodelink_controller.go:429] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1" by ProviderID
2024-10-24T13:06:11.024803586Z I1024 13:06:11.024789       1 nodelink_controller.go:452] Finding machine from node "ci-op-2fcpj5j6-f6035-2lklf-master-1" by IP
2024-10-24T13:06:11.024803586Z I1024 13:06:11.024796       1 nodelink_controller.go:457] Found internal IP for node "ci-op-2fcpj5j6-f6035-2lklf-master-1": "10.0.0.4"
2024-10-24T13:06:11.024829786Z I1024 13:06:11.024816       1 nodelink_controller.go:481] Matching machine not found for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" with internal IP "10.0.0.4"
2024-10-24T13:06:11.024840006Z W1024 13:06:11.024827       1 nodelink_controller.go:215] Machine for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" not found
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036354       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036415       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036425       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" by providerID
2024-10-24T13:06:11.036476576Z W1024 13:06:11.036433       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" has no providerID
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036442       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" by IP
2024-10-24T13:06:11.036476576Z W1024 13:06:11.036448       1 nodelink_controller.go:389] not found internal IP for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036455       1 nodelink_controller.go:331] No-op: Node for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" not found
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036459       1 nodelink_controller.go:294] Watched machine event, finding node to reconcile.Request
2024-10-24T13:06:11.036476576Z I1024 13:06:11.036472       1 nodelink_controller.go:337] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:06:11.036505176Z I1024 13:06:11.036476       1 nodelink_controller.go:354] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" by providerID
2024-10-24T13:06:11.036505176Z W1024 13:06:11.036484       1 nodelink_controller.go:356] Machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" has no providerID
2024-10-24T13:06:11.036505176Z I1024 13:06:11.036489       1 nodelink_controller.go:378] Finding node from machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" by IP
